,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,target
0,2,male,62.0,0,0,10.5,S,1
1,3,male,8.0,4,1,29.125,Q,0
2,3,male,32.0,0,0,56.4958,S,1
3,3,female,20.0,1,0,9.825,S,0
4,2,female,28.0,0,0,13.0,S,1
5,3,female,21.0,0,0,7.75,Q,0
6,3,male,37.0,2,0,7.925,S,0
7,3,female,17.0,0,0,14.4583,C,0
8,3,female,,0,0,7.75,Q,1
9,1,male,46.0,1,0,61.175,S,0
10,3,male,,0,0,15.1,S,0
11,3,male,24.0,0,0,8.05,S,0
12,1,male,29.0,1,0,66.6,S,0
13,1,female,56.0,0,1,83.1583,C,1
14,2,male,31.0,1,1,37.0042,C,0
15,3,male,,0,0,7.75,Q,1
16,2,male,32.0,1,0,26.0,S,1
17,3,male,33.0,1,1,20.525,S,0
18,3,male,59.0,0,0,7.25,S,0
19,1,female,58.0,0,0,26.55,S,1
20,3,female,,1,0,16.1,S,1
21,2,female,3.0,1,2,41.5792,C,1
22,3,male,,0,0,7.8958,C,0
23,1,female,16.0,0,1,57.9792,C,1
24,3,female,45.0,1,4,27.9,S,0
25,1,female,43.0,0,1,211.3375,S,1
26,1,female,30.0,0,0,106.425,C,1
27,3,male,28.5,0,0,16.1,S,0
28,3,male,24.0,0,0,7.7958,S,0
29,2,male,30.0,0,0,13.0,S,0
30,1,male,36.0,0,0,40.125,C,0
31,3,male,25.0,0,0,7.05,S,0
32,3,female,,0,2,7.75,Q,0
33,1,female,50.0,0,0,28.7125,C,0
34,3,female,0.75,2,1,19.2583,C,1
35,1,female,24.0,0,0,49.5042,C,1
36,2,female,24.0,1,2,65.0,S,1
37,1,female,35.0,1,0,52.0,S,1
38,1,female,30.0,0,0,86.5,S,1
39,2,male,23.0,0,0,13.0,S,0
40,3,male,,0,0,7.8958,S,0
41,2,male,27.0,0,0,26.0,S,0
42,2,female,55.0,0,0,16.0,S,1
43,1,female,35.0,1,0,53.1,S,1
44,3,male,,0,0,6.8583,Q,0
45,1,female,,0,0,79.2,C,1
46,3,male,,1,0,19.9667,S,0
47,2,female,23.0,0,0,13.7917,C,1
48,3,female,,0,0,7.7333,Q,1
49,1,female,23.0,1,0,113.275,C,1
50,3,male,51.0,0,0,8.05,S,0
51,2,female,33.0,0,2,26.0,S,1
52,3,female,29.0,0,4,21.075,S,0
53,3,male,,0,0,7.8958,C,0
54,3,male,,8,2,69.55,S,0
55,2,female,2.0,1,1,26.0,S,1
56,2,female,14.0,1,0,30.0708,C,1
